AgenteID,Nome,CPF,Data_Contratacao,Departamento,Turno,Supervisor,Telefone,Email,Data_Criacao,Data_Alteracao,Usuario_Criacao,Usuario_Alteracao,Ativo,Data_Inicio_Vigente,Data_Fim_Vigente
1,"Jin de Moura",86960431002,2020-02-29,MARKETING,Parcial,Ana,"(517) 752-7364",jindemoura7080@icloud.ca,"2022-02-28 00:00:00","2023-10-30 00:00:00","Bree Moraes","Amal Araujo",N,"2024-12-11 00:00:00","2023-11-08 00:00:00"
2,"Tatum Bezerra",36531286937,2020-07-10,COMERCIAL,Flexivel,Antonio,"(406) 203-1838",tatumbezerra2531@protonmail.com,"2022-08-12 00:00:00","2025-01-08 00:00:00","Perry Menezes","Ezekiel de Jesus",S,"2020-05-16 00:00:00","2024-07-27 00:00:00"
3,"Kaitlin Reis",38131820925,2020-10-03,RH,Flexivel,Claudio,"(893) 987-9648",kaitlinreis@protonmail.com,"2024-04-23 00:00:00","2025-01-16 00:00:00","Desirae Coelho","Cathleen Vaz",N,"2021-01-23 00:00:00","2025-07-20 00:00:00"
4,"Tiger Ramos",74115520820,2023-07-19,MARKETING,Revezamento,Gilson,"(802) 515-6557",tigerramos@outlook.ca,"2020-06-26 00:00:00","2025-02-13 00:00:00","Paula de Freitas","Rajah Gomes",N,"2024-05-22 00:00:00","2025-06-19 00:00:00"
5,"Upton Rosa",88375737659,2021-05-26,OPERACAO,Flexivel,Julia,"(347) 199-5584",uptonrosa@aol.couk,"2021-04-30 00:00:00","2024-01-31 00:00:00","Tiger Chagas","Hilel Correia",S,"2022-12-08 00:00:00","2024-07-24 00:00:00"
6,"Roanna Muniz",65118010752,2020-11-09,RH,Diurno,Gilson,"(329) 854-1062",roannamuniz@outlook.net,"2020-06-24 00:00:00","2024-11-26 00:00:00","Audra Bispo","Tasha Aguiar",S,"2020-12-03 00:00:00","2025-02-17 00:00:00"
7,"Gage Matos",62020551414,2023-02-07,OPERACAO,Noturno,Julia,"(957) 773-8107",gagematos9103@outlook.ca,"2022-07-07 00:00:00","2024-04-16 00:00:00","Harlan Das Neves","Melvin Moreira",N,"2024-09-27 00:00:00","2024-09-11 00:00:00"
8,"Iona de Souza",50028187586,2023-03-21,COMERCIAL,Flexivel,Claudio,"(801) 148-8194",ionadesouza@aol.com,"2021-09-20 00:00:00","2024-10-13 00:00:00","Leroy Bueno","Brianna da Costa",N,"2023-05-29 00:00:00","2024-08-18 00:00:00"
9,"Kasper Coutinho",64805270767,2024-04-09,RH,Flexivel,Renata,"(519) 766-0760",kaspercoutinho@yahoo.ca,"2021-06-26 00:00:00","2024-05-23 00:00:00","Bell Torres","Paki Bento",S,"2021-04-19 00:00:00","2025-09-09 00:00:00"
10,"Tucker Antunes",65363406172,2020-02-11,JURIDICO,Revezamento,Renata,"(316) 710-6440",tuckerantunes5839@google.couk,"2022-08-17 00:00:00","2025-06-11 00:00:00","Jin Ferraz","Rafael Marinho",N,"2021-12-30 00:00:00","2024-04-22 00:00:00"
